word,vector
302,"[-0.023288091644644737,-0.052487265318632126,0.03830737993121147,0.07307395339012146,0.09696807712316513]"
2820,"[-0.01395397074520588,0.06038147211074829,0.05229046195745468,-0.02337268367409706,0.07867565751075745]"
62081,"[0.02287905290722847,0.06686162203550339,0.0034861350432038307,-0.018820278346538544,-0.05292530730366707]"
1474,"[-0.08208944648504257,0.05272258445620537,0.08031211048364639,-0.04768528789281845,-0.09265301376581192]"
27416,"[-0.07856860756874084,0.09544109553098679,0.07328173518180847,-0.09885476529598236,0.015986904501914978]"
2779,"[0.009329159744083881,0.03594039008021355,-0.09344173967838287,-0.057074062526226044,0.0813170075416565]"
1394,"[-0.044093187898397446,0.17735092341899872,-0.2838692367076874,0.3974694311618805,-0.39571982622146606]"
4802,"[-0.1203579381108284,0.03303177282214165,-0.07651177048683167,-0.0415632463991642,0.05425933375954628]"
59037,"[-0.05259789153933525,0.031884849071502686,-0.10169406235218048,0.010832875967025757,-0.056608010083436966]"
27846,"[-0.174430251121521,-0.051051799207925797,-0.23737120628356934,0.12072111666202545,0.06527237594127655]"
115617,"[-0.436257004737854,-0.07480625063180923,-0.22596247494220734,-0.04669700190424919,-0.097247414290905]"
143458,"[0.030302830040454865,-0.0582878515124321,-0.025660734623670578,-0.10020996630191803,-0.08325839042663574]"
26614,"[-0.037397466599941254,0.007452184334397316,-0.12930189073085785,0.11481057852506638,0.018591323867440224]"
153,"[-0.38287365436553955,0.5233820676803589,0.3199918270111084,-0.2935510575771332,-0.34883952140808105]"
79702,"[-0.3074628412723541,-0.095525823533535,-0.29760482907295227,0.09861602634191513,0.19150464236736298]"
3760,"[-0.05200497806072235,0.0020279022864997387,-0.10650107264518738,0.05315777659416199,0.07919075340032578]"
34542,"[0.04903772100806236,-0.04464982822537422,-0.12548430263996124,0.017988057807087898,0.08294292539358139]"
6793,"[-0.0791560560464859,0.021645523607730865,-0.02906343713402748,0.024629496037960052,-0.05245695635676384]"
3846,"[-0.09210407733917236,-0.061882134526968,-0.09694819897413254,-0.09637712687253952,0.06476544588804245]"
51935,"[-0.06502921879291534,-0.06780439615249634,-0.19854621589183807,0.1869685798883438,0.09970628470182419]"
8491,"[-0.011811308562755585,-0.07448267191648483,-0.0006285246927291155,0.08726420253515244,-0.023339085280895233]"
40697,"[0.028196945786476135,0.09260310977697372,-0.006739063188433647,0.040443018078804016,0.010350074619054794]"
33310,"[0.06732568144798279,0.03404587507247925,0.03195338323712349,0.08663751929998398,-0.08195076882839203]"
6086,"[0.0843639150261879,0.039224956184625626,0.008165156468749046,0.012107324786484241,0.10228624194860458]"
7061,"[-0.05904489755630493,-0.13291938602924347,-0.1650719791650772,-0.06215144693851471,0.06145281344652176]"
31435,"[-0.0496932715177536,0.012384539470076561,-0.10662781447172165,0.09451259672641754,-0.046063702553510666]"
3037,"[0.05622795969247818,-0.19486139714717865,-0.3049779236316681,0.022275187075138092,0.2750191390514374]"
170357,"[-0.20764824748039246,0.042220234870910645,-0.3218533396720886,0.008197006769478321,0.03188203275203705]"
130490,"[0.026117082685232162,0.072826087474823,-0.012536867521703243,-0.0818822905421257,0.034843966364860535]"
74228,"[-0.10665246844291687,-0.005754940211772919,-0.013357655145227909,-0.07762739062309265,0.05012435093522072]"
335,"[-0.045079413801431656,0.12135092914104462,-0.03552291914820671,-0.029991084709763527,-0.06359266489744186]"
31804,"[0.061042483896017075,0.022816156968474388,-0.07300080358982086,0.02991209551692009,0.046706728637218475]"
6156,"[-0.02406928315758705,0.006801629438996315,-0.15064974129199982,0.029558632522821426,0.06472950428724289]"
27619,"[-0.017826825380325317,-0.09431181848049164,0.03321408852934837,0.012523840181529522,0.08290230482816696]"
2003,"[0.020745152607560158,-0.006400806363672018,-0.035160131752491,-0.12955181300640106,-0.0071332622319459915]"
735,"[-0.0150886420160532,-0.08973663300275803,-0.049496300518512726,0.05761893093585968,0.06396252661943436]"
93,"[0.020774707198143005,0.029492631554603577,-0.003933528438210487,-0.12121353298425674,0.05900179594755173]"
7151,"[-0.0753287672996521,-0.06607687473297119,-0.040639374405145645,0.0646117702126503,0.09900856018066406]"
182823,"[-0.2174837589263916,0.012128771282732487,-0.2415335476398468,0.010305789299309254,0.06921444833278656]"
26236,"[-0.010422790423035622,0.04841005057096481,-0.09368929266929626,0.053330130875110626,0.056348204612731934]"
158,"[-0.14184841513633728,0.15675970911979675,0.15618681907653809,-0.10433279722929001,-0.13469135761260986]"
56915,"[0.03321113437414169,-0.02793695405125618,-0.06483638286590576,-0.0468880832195282,-0.02536044456064701]"
88069,"[-0.10272737592458725,0.06570623070001602,-0.11786246299743652,-0.07220464944839478,-0.017434101551771164]"
89580,"[-0.10601198673248291,-0.10934296995401382,-0.038931701332330704,0.030085168778896332,-0.0700681135058403]"
168846,"[-0.28396931290626526,-0.028827514499425888,-0.2293354570865631,0.09068337827920914,0.01392174419015646]"
3990,"[0.06381062418222427,-0.0402151495218277,0.023917214944958687,-0.04954918101429939,0.023623863235116005]"
3535,"[0.21254554390907288,-0.12579619884490967,-0.28317317366600037,-0.17041698098182678,0.40170252323150635]"
4103,"[-0.09137838333845139,-0.03785088658332825,-0.07681570947170258,-0.07544413954019547,0.09458094090223312]"
87287,"[-0.01582813635468483,-0.08036573231220245,-0.1317424476146698,0.006234437692910433,0.11814366281032562]"
58425,"[-0.049179740250110626,-0.03479017689824104,-0.07566122710704803,-0.10270974040031433,-0.01718076504766941]"
1267,"[-0.03227127343416214,0.4937314987182617,-0.34300699830055237,0.5738493800163269,-0.6045243144035339]"
1406,"[-0.047186072915792465,0.015143141150474548,0.058556776493787766,-0.059535037726163864,-0.04809913784265518]"
27320,"[0.004835858009755611,0.09189741313457489,-0.16520220041275024,0.0928230881690979,0.03928466513752937]"
5614,"[0.010518569499254227,-0.005420778412371874,-0.06177510693669319,-0.0527762770652771,-0.05783707648515701]"
134393,"[-0.1335395872592926,-0.01813405193388462,-0.14016208052635193,-0.0036736575420945883,0.035188980400562286]"
6244,"[-0.07336035370826721,0.09887323528528214,0.021503031253814697,0.08724012970924377,-0.0922681912779808]"
4738,"[-0.16694891452789307,-0.055227477103471756,-0.21360386908054352,-0.032654888927936554,0.025986047461628914]"
1950,"[-0.049837399274110794,-0.00964245293289423,-0.035857561975717545,0.045523446053266525,0.010830199345946312]"
4639,"[-0.06480826437473297,-0.004542511887848377,-0.12342628836631775,-0.029261291027069092,-0.07038256525993347]"
5577,"[-0.12981657683849335,-0.1827910989522934,-0.22640807926654816,-0.026259619742631912,0.19490346312522888]"
6776,"[-0.027851704508066177,-0.018759803846478462,-0.08563201874494553,-0.023886414244771004,0.04543716460466385]"
2074,"[0.03683486953377724,0.0431462861597538,0.016787292435765266,-0.1036599799990654,-0.03220376744866371]"
3551,"[-0.16431014239788055,-0.019134268164634705,-0.24364745616912842,-0.021193401888012886,0.04403986409306526]"
2905,"[0.1270635575056076,-0.0316283218562603,-0.09691563248634338,0.02508765645325184,0.20155295729637146]"
7050,"[0.012498639523983002,0.023316921666264534,-0.18082138895988464,0.036037568002939224,0.06916886568069458]"
7217,"[-0.013247726485133171,-0.0719657838344574,0.0020056068897247314,-0.02505590207874775,-0.05069434270262718]"
98607,"[0.01589655503630638,0.05460390821099281,-0.07848294824361801,-0.038968633860349655,0.0019517028704285622]"
31610,"[-0.0744464099407196,0.07121598720550537,-0.14393998682498932,-0.0661013275384903,0.0002172035165131092]"
5023,"[-0.06970470398664474,0.022229056805372238,0.049353163689374924,0.00602691899985075,0.11966661363840103]"
37731,"[-0.15108048915863037,0.037426792085170746,-0.15932685136795044,0.10683705657720566,0.11116785556077957]"
4195,"[-0.018224678933620453,-0.12983673810958862,-0.1523250937461853,-0.11924544721841812,-0.052960336208343506]"
79139,"[-0.05697398632764816,-0.0025192773900926113,0.07444655895233154,0.11513292789459229,0.022814568132162094]"
2807,"[0.07060862332582474,-0.08775298297405243,0.029322005808353424,0.024668805301189423,-0.0619591660797596]"
3952,"[0.053403135389089584,-0.04224404692649841,-0.0417027585208416,-0.0026162355206906796,0.033423833549022675]"
150548,"[-0.22255368530750275,-0.07220134884119034,-0.4705904424190521,0.050190918147563934,-0.04915851727128029]"
4171,"[0.015299543738365173,-0.0368289090692997,-0.02759728580713272,-0.06939947605133057,0.0009278651559725404]"
2502,"[0.24151121079921722,0.30398985743522644,-0.6804481744766235,0.44347190856933594,0.3195852041244507]"
3160,"[0.10768771916627884,-0.17728208005428314,-0.3378841280937195,-0.12481239438056946,0.36089882254600525]"
6659,"[-0.11503705382347107,0.008436135947704315,-0.18313272297382355,-0.08822983503341675,0.12958396971225739]"
3539,"[0.030398113653063774,-0.07195500284433365,0.057106129825115204,-0.06768947839736938,0.00466315820813179]"
5995,"[-0.10555758327245712,0.1348748356103897,-0.1996466964483261,0.130190908908844,0.6405811905860901]"
3475,"[-0.09704863280057907,-0.004738775547593832,-0.04037141799926758,-0.0648241639137268,-0.00674419105052948]"
1792,"[0.0287768617272377,-0.035013359040021896,-0.009260669350624084,0.07913550734519958,-0.15000927448272705]"
71466,"[0.06625334918498993,-0.09052811563014984,-0.02657047100365162,-0.029058966785669327,0.01173078827559948]"
7345,"[0.010614331811666489,-0.021468939259648323,-0.05696308612823486,-0.05523216351866722,0.015680773183703423]"
90531,"[-0.08066731691360474,-0.04778240621089935,-0.15858305990695953,-0.04738659784197807,0.10907458513975143]"
27879,"[-0.15602423250675201,0.029215864837169647,-0.15667007863521576,0.03558855876326561,0.03553730621933937]"
147,"[-0.10319890081882477,0.09495039284229279,0.2216893583536148,-0.0871313065290451,-0.13253092765808105]"
5288,"[-0.19756297767162323,-0.18648961186408997,-0.17832329869270325,-0.014628750272095203,0.05787716060876846]"
3251,"[-0.09543300420045853,-0.12812845408916473,0.04639831557869911,-0.15604117512702942,0.1254141628742218]"
4347,"[-0.02137787640094757,0.003254837356507778,0.03939451277256012,0.05265727639198303,-0.031060559675097466]"
4717,"[-0.089629165828228,0.04396069422364235,-0.03694338724017143,0.027481738477945328,0.08307121694087982]"
616,"[0.5672853589057922,0.025753013789653778,0.05441078916192055,-0.13416700065135956,-0.2557240426540375]"
69524,"[-0.020833740010857582,0.0269011277705431,-0.1221306324005127,0.042541246861219406,-0.008013595826923847]"
589,"[1.4941813945770264,0.6124551296234131,-0.07350899279117584,-1.1302608251571655,-0.9443121552467346]"
103984,"[-0.027452701702713966,-0.06179172918200493,-0.02290342003107071,0.058855123817920685,-0.03154119849205017]"
69640,"[0.007726028095930815,-0.09929025173187256,-0.1046418845653534,-0.03671256825327873,-0.005246357526630163]"
