item_id,item_html
25,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Hide email addresses to protect from unauthorised user</title> </head> <body> </body> </html> 
26,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>JS swap case</title> </head> <body> </body> </html> 
27,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Insert a string within a specific position in another string</title> </head> <body> </body> </html> 
28,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>JavaScript uncamelize function</title> </head> <body> </body> </html> 
29,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Make capitalize the first letter of a string</title> </head> <body> </body> </html> 
30,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Make capitalize the first letter of each word in a string</title> </head> <body> </body> </html> 
31,"<!DOCTYPE html> <html> <head>   <meta charset=""utf-8"">   <title>Write a JavaScript function that can pad (left, right) a string to get to a determined length.</title> </head> <body>  </body> </html> "
32,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Parameterize a string</title> </head> <body> </body> </html> 
33,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to remove HTML/XML tags from string</title> </head> <body>  </body> </html> 
34,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to remove non-printable ASCII chars.</title> </head> <body>  </body> </html> 
35,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to remove non-word characters.</title> </head> <body>  </body> </html> 
36,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>Write a JavaScript function to remove the first occurrence of a given 'search string' from a string</title> </head> <body>  </body> </html> 
37,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>Write a JavaScript function to repeat a string a specified times.</title> </head> <body>  </body> </html> 
38,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>Split a string and convert it into an array of words.</title> </head> <body> </body> </html> 
39,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>Write a JavaScript function to strip leading and trailing spaces from a string.</title> </head> <body>  </body> </html> 
40,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to test case insensitive (except special Unicode characters) string comparison</title> </head> <body>  </body> </html> 
41,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to test whether a string ends with a specified string</title> </head> <body>  </body> </html> 
42,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to test whether a string starts with a specified string</title> </head> <body>  </body> </html> 
43,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to test whether the character at the provided character index is lower case</title> </head> <body>  </body> </html> 
44,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to test whether the character at the provided index is upper case</title> </head> <body>  </body> </html> 
45,<!DOCTYPE html> <html> <head> <meta charset="utf-8"> <title>JS truncates a string</title> </head> <body> </body> </html> 
46,<!DOCTYPE html> <html> <head>   <meta charset="utf-8"> <title>JavaScript function to truncate a string to a certain number of words</title> </head> <body>  </body> </html> 
47,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to uncapitalize each word in the string</title> </head> <body>  </body> </html> 
48,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to uncapitalize?the first character of a string.</title> </head> <body>  </body> </html> 
49,<!DOCTYPE html> <html> <head>   <meta charset="utf-8">   <title>JavaScript function to Uncapitalize the first letter of each word of a string</title> </head> <body>  </body> </html> 
